Date;Total Readings
2014-1-1;30.148
2014-1-2;56.06
2014-1-3;53.966
2014-1-4;24.656
2014-1-5;41.323
2014-1-6;64.996
2014-1-7;48.478
2014-1-8;35.879
2014-1-9;36.171
2014-1-10;24.655
2014-1-11;24.61
2014-1-12;22.824
2014-1-13;11.948
2014-1-14;24.24
2014-1-15;34.08
2014-1-16;18.498
2014-1-17;29.417
2014-1-18;26.015
2014-1-19;25.022
2014-1-20;22.425
2014-1-21;22.134
2014-1-22;26.822
2014-1-23;53.732
2014-1-24;62.783
2014-1-25;27.341
2014-1-26;23.926
2014-1-27;37.846
2014-1-28;59.044
2014-1-29;52.948
2014-1-30;49.535
2014-1-31;17.918
2014-2-1;14.123
2014-2-2;60.439
2014-2-3;50.564
2014-2-4;34.328
2014-2-5;53.605
2014-2-6;99.052
2014-2-7;73.125
2014-2-8;44.342
2014-2-9;29.278
2014-2-10;57.354
2014-2-11;66.868
2014-2-12;46.154
2014-2-13;35.892
2014-2-14;13.689
2014-2-15;15.192
2014-2-16;15.487
2014-2-17;13.529
2014-2-18;10.931
2014-2-19;17.603
2014-2-20;14.606
2014-2-21;22.889
2014-2-22;11.555
2014-2-23;9.696
2014-2-24;14.541
2014-2-25;26.691
2014-2-26;27.657
2014-2-27;27.305
2014-2-28;22.477
2014-3-1;14.517
2014-3-2;68.839
2014-3-3;56.097
2014-3-4;40.573
2014-3-5;24.374
2014-3-6;29.134
2014-3-7;23.294
2014-3-8;22.569
2014-3-9;21.42
2014-3-10;14.82
2014-3-11;8.72
2014-3-12;14.801
2014-3-13;18.678
2014-3-14;11.416
2014-3-15;14.623
2014-3-16;23.973
2014-3-17;30.221
2014-3-18;21.894
2014-3-19;15.773
2014-3-20;19.142
2014-3-21;17.363
2014-3-22;9.611
2014-3-23;12.32
2014-3-24;16.317
2014-3-25;13.172
2014-3-26;17.676
2014-3-27;14.881
2014-3-28;12.629
2014-3-29;8.745
2014-3-30;nan
2014-3-31;12.395
2014-4-1;7.134
2014-4-2;8.906
2014-4-3;11.77
2014-4-4;16.447
2014-4-5;25.858
2014-4-6;17.685
2014-4-7;11.719
2014-4-8;13.565
2014-4-9;13.465
2014-4-10;23.4
2014-4-11;13.795
2014-4-12;8.375
