Date;Total Readings
2014-4-13;7.515
2014-4-14;10.235
2014-4-15;18.402
2014-4-16;11.308
2014-4-17;19.826
2014-4-18;14.157
2014-4-19;16.186
2014-4-20;14.771
2014-4-21;11.738
2014-4-22;7.865
2014-4-23;7.607
2014-4-24;10.248
2014-4-25;20.482
2014-4-26;7.2
2014-4-27;7.767
2014-4-28;10.406
2014-4-29;7.835
2014-4-30;20.02
2014-5-1;13.903
2014-5-2;11.183
2014-5-3;9.096
2014-5-4;11.608
2014-5-5;9.12
2014-5-6;12.474
2014-5-7;6.432
2014-5-8;4.991
2014-5-9;4.094
2014-5-10;4.42
2014-5-11;5.04
2014-5-12;5.056
2014-5-13;6.12
2014-5-14;12.33
2014-5-15;6.069
2014-5-16;8.964
2014-5-17;11.53
2014-5-18;7.228
2014-5-19;nan
2014-5-20;7.821
2014-5-21;5.069
2014-5-22;11.363
2014-5-23;12.917
2014-5-24;6.31
2014-5-25;7.211
2014-5-26;6.72
2014-5-27;12.77
2014-5-28;7.397
2014-5-29;nan
2014-5-30;10.72
2014-5-31;21.381
2014-6-1;13.462
2014-6-2;13.349
2014-6-3;20.027
2014-6-4;18.307
2014-6-5;16.298
2014-6-6;nan
2014-6-7;23.54
2014-6-8;13.096
2014-6-9;13.432
2014-6-10;12.371
2014-6-11;19.055
2014-6-12;14.783
2014-6-13;15.92
2014-6-14;21.305
2014-6-15;nan
2014-6-16;30.988
2014-6-17;25.878
2014-6-18;19.492
2014-6-19;22.455
2014-6-20;28.293
2014-6-21;22.849
2014-6-22;13.039
2014-6-23;17.702
2014-6-24;15.916
2014-6-25;12.065
2014-6-26;16.712
2014-6-27;21.707
2014-6-28;18.016
2014-6-29;21.3
2014-6-30;21.109
2014-7-1;20.344
2014-7-2;20.441
2014-7-3;19.844
2014-7-4;16.602
2014-7-5;18.956
2014-7-6;18.595
2014-7-7;nan
2014-7-8;31.687
2014-7-9;28.259
2014-7-10;43.826
2014-7-11;26.617
2014-7-12;25.951
2014-7-13;34.109
2014-7-14;22.108
2014-7-15;24.386
2014-7-16;20.129
2014-7-17;18.174
2014-7-18;13.666
2014-7-19;15.818
2014-7-20;15.279
2014-7-21;25.009
2014-7-22;23.584
2014-7-23;23.131
2014-7-24;20.933
2014-7-25;24.567
2014-7-26;36.58
2014-7-27;35.384
2014-7-28;22.241
2014-7-29;17.919
2014-7-30;14.398
2014-7-31;12.805
2014-8-1;17.477
2014-8-2;17.904
2014-8-3;25.312
2014-8-4;8.604
2014-8-5;8.621
2014-8-6;10.197
2014-8-7;10.792
2014-8-8;13.567
2014-8-9;14.436
2014-8-10;29.856
2014-8-11;27.446
2014-8-12;24.682
2014-8-13;27.718
2014-8-14;22.933
2014-8-15;30.784
2014-8-16;22.285
2014-8-17;11.398
2014-8-18;19.807
2014-8-19;22.884
2014-8-20;nan
2014-8-21;25.042
2014-8-22;32.235
2014-8-23;28.729
2014-8-24;29.531
2014-8-25;36.55
2014-8-26;26.996
2014-8-27;32.7
2014-8-28;30.051
2014-8-29;29.947
2014-8-30;24.22
2014-8-31;23.396
2014-9-1;30.927
2014-9-2;28.1
2014-9-3;25.584
2014-9-4;32.355
2014-9-5;35.449
2014-9-6;30.731
2014-9-7;16.373
2014-9-8;18.565
2014-9-9;24.978
2014-9-10;26.619
2014-9-11;29.217
2014-9-12;11.414
2014-9-13;14.71
2014-9-14;nan
2014-9-15;14.377
2014-9-16;19.082
2014-9-17;22.827
2014-9-18;20.411
2014-9-19;22.651
2014-9-20;19.32
2014-9-21;19.149
2014-9-22;26.403
2014-9-23;10.137
2014-9-24;9.446
2014-9-25;16.564
2014-9-26;11.606
2014-9-27;17.034
2014-9-28;12.107
2014-9-29;11.478
2014-9-30;17.909
2014-10-1;16.174
2014-10-2;16.705
2014-10-3;0.0
2014-10-4;5.425
2014-10-5;10.238
2014-10-6;14.216
2014-10-7;9.567
2014-10-8;11.842
2014-10-9;13.502
2014-10-10;21.462
2014-10-11;13.148
2014-10-12;10.702
2014-10-13;3.059
2014-10-14;5.715
2014-10-15;9.437
2014-10-16;14.438
2014-10-17;7.035
2014-10-18;5.266
2014-10-19;5.78
2014-10-20;7.531
2014-10-21;6.296
2014-10-22;7.897
2014-10-23;10.801
2014-10-24;8.508
2014-10-25;12.007
2014-10-26;5.126
2014-10-27;8.078
2014-10-28;7.315
2014-10-29;9.625
2014-10-30;10.574
2014-10-31;9.066
2014-11-1;9.041
2014-11-2;8.146
2014-11-3;13.789
2014-11-4;6.576
2014-11-5;15.755
2014-11-6;15.952
2014-11-7;6.962
2014-11-8;5.914
2014-11-9;11.993
2014-11-10;9.493
2014-11-11;10.965
2014-11-12;21.133
2014-11-13;26.269
2014-11-14;31.811
2014-11-15;28.746
2014-11-16;25.668
2014-11-17;42.174
2014-11-18;33.115
2014-11-19;21.962
2014-11-20;17.611
2014-11-21;15.255
2014-11-22;12.615
2014-11-23;nan
2014-11-24;12.275
2014-11-25;16.512
2014-11-26;16.733
2014-11-27;19.972
2014-11-28;27.684
2014-11-29;14.473
2014-11-30;8.931
2014-12-1;17.344
2014-12-2;24.631
2014-12-3;18.199
2014-12-4;17.55
2014-12-5;13.35
2014-12-6;9.353
2014-12-7;16.466
2014-12-8;6.959
2014-12-9;3.896
2014-12-10;4.279
2014-12-11;3.913
2014-12-12;3.943
2014-12-13;12.899
2014-12-14;14.487
2014-12-15;15.937
2014-12-16;16.179
2014-12-17;nan
2014-12-18;30.239
2014-12-19;14.834
2014-12-20;19.071
2014-12-21;16.306
2014-12-22;21.925
2014-12-23;18.351
2014-12-24;25.981
2014-12-25;37.728
2014-12-26;13.683
2014-12-27;31.333
2014-12-28;43.68
2014-12-29;34.893
2014-12-30;31.855
2014-12-31;44.341
