Date;Total Readings
2013-10-18;7.633
2013-10-19;6.755
2013-10-20;7.357
2013-10-21;10.073
2013-10-22;nan
2013-10-23;6.297
2013-10-24;5.674
2013-10-25;6.112
2013-10-26;8.945
2013-10-27;8.149
2013-10-28;7.266
2013-10-29;6.673
2013-10-30;14.248
2013-10-31;11.887
2013-11-1;7.496
2013-11-2;nan
2013-11-3;6.044
2013-11-4;6.137
2013-11-5;7.25
2013-11-6;8.526
2013-11-7;5.133
2013-11-8;8.64
2013-11-9;11.086
2013-11-10;10.599
2013-11-11;9.567
2013-11-12;nan
2013-11-13;8.974
2013-11-14;8.811
2013-11-15;15.982
2013-11-16;7.443
2013-11-17;10.972
2013-11-18;6.945
2013-11-19;nan
2013-11-20;6.273
2013-11-21;7.35
2013-11-22;8.511
2013-11-23;9.576
2013-11-24;10.101
2013-11-25;9.297
2013-11-26;10.178
2013-11-27;22.959
2013-11-28;16.018
2013-11-29;15.251
2013-11-30;10.374
2013-12-1;9.462
2013-12-2;9.655
2013-12-3;7.343
2013-12-4;7.486
2013-12-5;8.524
2013-12-6;9.864
2013-12-7;11.554
2013-12-8;9.667
2013-12-9;11.478
2013-12-10;10.691
2013-12-11;5.39
2013-12-12;6.024
2013-12-13;9.933
2013-12-14;10.704
2013-12-15;9.977
2013-12-16;11.723
2013-12-17;8.447
2013-12-18;7.707
2013-12-19;7.004
2013-12-20;7.201
2013-12-21;8.839
2013-12-22;13.122
2013-12-23;11.314
2013-12-24;5.72
2013-12-25;5.347
2013-12-26;10.003
2013-12-27;8.981
2013-12-28;9.327
2013-12-29;9.646
2013-12-30;11.105
2013-12-31;10.664
